ckpt,task,seed,score,passed
6,simple_038,44,100.00,True
6,simple_059,44,100.00,True
6,simple_070,44,66.67,False
6,simple_075,44,66.67,False
6,simple_085,44,33.33,False
6,simple_094,44,33.33,False
6,simple_098,44,33.33,False
6,simple_019,45,66.67,False
6,simple_038,45,75.00,False
6,simple_059,45,66.67,False
6,simple_070,45,66.67,False
6,simple_075,45,100.00,True
6,simple_085,45,66.67,False
6,simple_094,45,100.00,True
6,simple_098,45,100.00,True
6,simple_019,46,83.33,False
6,simple_038,46,25.00,False
6,simple_059,46,100.00,True
6,simple_070,46,33.33,False
6,simple_075,46,100.00,True
6,simple_085,46,33.33,False
6,simple_094,46,33.33,False
6,simple_098,46,100.00,True
7,simple_019,42,66.67,False
7,simple_038,42,25.00,False
7,simple_059,42,66.67,False
7,simple_070,42,66.67,False
7,simple_075,42,100.00,True
7,simple_085,42,66.67,False
7,simple_094,42,100.00,True
7,simple_098,42,33.33,False
7,simple_019,43,100.00,True
7,simple_038,43,100.00,True
7,simple_059,43,66.67,False
7,simple_070,43,33.33,False
7,simple_075,43,100.00,True
7,simple_085,43,100.00,True
7,simple_094,43,100.00,True
7,simple_098,43,33.33,False
7,simple_019,44,100.00,True
7,simple_038,44,25.00,False
7,simple_059,44,100.00,True
7,simple_070,44,100.00,True
7,simple_075,44,66.67,False
7,simple_085,44,33.33,False
7,simple_094,44,100.00,True
7,simple_098,44,33.33,False
7,simple_019,45,66.67,False
7,simple_038,45,75.00,False
7,simple_059,45,100.00,True
7,simple_070,45,66.67,False
7,simple_075,45,100.00,True
7,simple_085,45,100.00,True
7,simple_094,45,100.00,True
7,simple_098,45,33.33,False
7,simple_019,46,66.67,False
7,simple_038,46,25.00,False
7,simple_059,46,100.00,True
7,simple_070,46,66.67,False
7,simple_075,46,100.00,True
7,simple_085,46,66.67,False
7,simple_094,46,100.00,True
7,simple_098,46,33.33,False
8,simple_019,42,66.67,False
8,simple_038,42,25.00,False
8,simple_059,42,100.00,True
8,simple_070,42,33.33,False
8,simple_075,42,100.00,True
8,simple_085,42,100.00,True
8,simple_094,42,100.00,True
8,simple_098,42,33.33,False
8,simple_019,43,100.00,True
8,simple_038,43,100.00,True
8,simple_059,43,100.00,True
8,simple_070,43,66.67,False
8,simple_075,43,66.67,False
8,simple_085,43,33.33,False
8,simple_094,43,100.00,True
8,simple_098,43,66.67,False
8,simple_019,44,100.00,True
8,simple_038,44,100.00,True
8,simple_070,44,100.00,True
8,simple_075,44,66.67,False
8,simple_085,44,100.00,True
8,simple_094,44,100.00,True
8,simple_098,44,100.00,True
8,simple_019,45,66.67,False
8,simple_038,45,100.00,True
8,simple_059,45,66.67,False
8,simple_070,45,100.00,True
8,simple_075,45,66.67,False
8,simple_085,45,66.67,False
8,simple_098,45,100.00,True
8,simple_019,46,66.67,False
8,simple_038,46,100.00,True
8,simple_059,46,100.00,True
8,simple_075,46,100.00,True
8,simple_094,46,100.00,True
8,simple_098,46,33.33,False
9,simple_019,42,100.00,True
9,simple_038,42,75.00,False
9,simple_059,42,100.00,True
9,simple_070,42,66.67,False
9,simple_075,42,100.00,True
9,simple_085,42,66.67,False
9,simple_094,42,100.00,True
9,simple_098,42,33.33,False
9,simple_019,43,66.67,False
9,simple_038,43,100.00,True
9,simple_059,43,66.67,False
9,simple_070,43,100.00,True
9,simple_075,43,100.00,True
9,simple_085,43,33.33,False
9,simple_094,43,100.00,True
9,simple_098,43,33.33,False
9,simple_019,44,66.67,False
9,simple_038,44,25.00,False
9,simple_059,44,100.00,True
9,simple_070,44,33.33,False
9,simple_075,44,100.00,True
9,simple_085,44,66.67,False
9,simple_094,44,100.00,True
9,simple_098,44,66.67,False
9,simple_019,45,66.67,False
9,simple_038,45,25.00,False
9,simple_059,45,66.67,False
9,simple_070,45,100.00,True
9,simple_075,45,100.00,True
9,simple_085,45,66.67,False
9,simple_094,45,100.00,True
9,simple_098,45,33.33,False
9,simple_019,46,100.00,True
9,simple_038,46,25.00,False
9,simple_059,46,100.00,True
9,simple_070,46,100.00,True
9,simple_075,46,100.00,True
9,simple_085,46,66.67,False
9,simple_094,46,33.33,False
9,simple_098,46,33.33,False
10,simple_019,42,66.67,False
10,simple_038,42,100.00,True
10,simple_059,42,66.67,False
10,simple_070,42,66.67,False
10,simple_075,42,100.00,True
10,simple_085,42,66.67,False
10,simple_094,42,100.00,True
10,simple_098,42,33.33,False
10,simple_019,43,100.00,True
10,simple_038,43,75.00,False
10,simple_059,43,100.00,True
10,simple_070,43,100.00,True
10,simple_075,43,66.67,False
10,simple_085,43,66.67,False
10,simple_094,43,100.00,True
10,simple_098,43,33.33,False
10,simple_019,44,66.67,False
10,simple_038,44,100.00,True
10,simple_059,44,100.00,True
10,simple_070,44,100.00,True
10,simple_075,44,100.00,True
10,simple_085,44,100.00,True
10,simple_094,44,100.00,True
10,simple_098,44,33.33,False
10,simple_019,45,66.67,False
10,simple_038,45,25.00,False
10,simple_059,45,100.00,True
10,simple_070,45,33.33,False
10,simple_075,45,100.00,True
10,simple_085,45,100.00,True
10,simple_094,45,100.00,True
10,simple_098,45,33.33,False
10,simple_019,46,100.00,True
10,simple_038,46,50.00,False
10,simple_059,46,100.00,True
10,simple_070,46,66.67,False
10,simple_075,46,100.00,True
10,simple_085,46,66.67,False
10,simple_094,46,100.00,True
10,simple_098,46,100.00,True
11,simple_019,42,83.33,False
11,simple_038,42,25.00,False
11,simple_059,42,100.00,True
11,simple_070,42,66.67,False
11,simple_094,42,33.33,False
11,simple_098,42,66.67,False
11,simple_019,43,66.67,False
11,simple_038,43,100.00,True
11,simple_059,43,66.67,False
11,simple_070,43,66.67,False
11,simple_075,43,100.00,True
11,simple_094,43,33.33,False
11,simple_098,43,33.33,False
11,simple_019,44,66.67,False
11,simple_038,44,100.00,True
11,simple_059,44,100.00,True
11,simple_070,44,100.00,True
11,simple_075,44,100.00,True
11,simple_085,44,66.67,False
11,simple_094,44,100.00,True
11,simple_098,44,33.33,False
11,simple_019,45,66.67,False
11,simple_038,45,100.00,True
11,simple_059,45,100.00,True
11,simple_070,45,66.67,False
11,simple_075,45,100.00,True
11,simple_085,45,33.33,False
11,simple_094,45,100.00,True
11,simple_098,45,100.00,True
11,simple_019,46,66.67,False
11,simple_038,46,25.00,False
11,simple_059,46,100.00,True
11,simple_070,46,100.00,True
11,simple_075,46,100.00,True
11,simple_085,46,33.33,False
11,simple_094,46,33.33,False
11,simple_098,46,33.33,False
12,simple_019,42,66.67,False
12,simple_038,42,25.00,False
12,simple_059,42,100.00,True
12,simple_070,42,33.33,False
12,simple_075,42,100.00,True
12,simple_085,42,100.00,True
12,simple_094,42,100.00,True
12,simple_098,42,100.00,True
12,simple_019,43,66.67,False
12,simple_038,43,75.00,False
12,simple_059,43,100.00,True
12,simple_070,43,66.67,False
12,simple_075,43,100.00,True
12,simple_085,43,100.00,True
12,simple_094,43,100.00,True
12,simple_098,43,33.33,False
12,simple_019,44,66.67,False
12,simple_038,44,25.00,False
12,simple_059,44,100.00,True
12,simple_070,44,100.00,True
12,simple_075,44,66.67,False
12,simple_085,44,100.00,True
12,simple_094,44,100.00,True
12,simple_098,44,33.33,False
12,simple_019,45,100.00,True
12,simple_038,45,100.00,True
12,simple_059,45,100.00,True
12,simple_070,45,66.67,False
12,simple_075,45,33.33,False
12,simple_085,45,100.00,True
12,simple_098,45,33.33,False
12,simple_019,46,100.00,True
12,simple_038,46,25.00,False
12,simple_059,46,66.67,False
12,simple_070,46,66.67,False
12,simple_075,46,66.67,False
12,simple_094,46,100.00,True
12,simple_098,46,33.33,False
13,simple_019,42,66.67,False
13,simple_038,42,25.00,False
13,simple_059,42,66.67,False
13,simple_070,42,66.67,False
13,simple_075,42,100.00,True
13,simple_085,42,66.67,False
13,simple_094,42,33.33,False
13,simple_098,42,33.33,False
13,simple_019,43,83.33,False
13,simple_038,43,50.00,False
13,simple_059,43,100.00,True
13,simple_070,43,66.67,False
13,simple_075,43,100.00,True
13,simple_085,43,66.67,False
13,simple_094,43,100.00,True
13,simple_098,43,66.67,False
13,simple_019,44,66.67,False
13,simple_038,44,25.00,False
13,simple_059,44,100.00,True
13,simple_070,44,100.00,True
13,simple_075,44,100.00,True
13,simple_085,44,100.00,True
13,simple_094,44,100.00,True
13,simple_098,44,100.00,True
13,simple_019,45,83.33,False
13,simple_038,45,75.00,False
13,simple_059,45,100.00,True
13,simple_070,45,100.00,True
13,simple_075,45,100.00,True
13,simple_085,45,33.33,False
13,simple_094,45,100.00,True
13,simple_098,45,66.67,False
13,simple_019,46,100.00,True
13,simple_038,46,25.00,False
13,simple_059,46,100.00,True
13,simple_070,46,100.00,True
13,simple_075,46,100.00,True
13,simple_085,46,33.33,False
13,simple_094,46,100.00,True
13,simple_098,46,33.33,False
14,simple_019,42,66.67,False
14,simple_038,42,25.00,False
14,simple_059,42,100.00,True
14,simple_070,42,66.67,False
14,simple_075,42,100.00,True
14,simple_085,42,66.67,False
14,simple_094,42,100.00,True
14,simple_098,42,33.33,False
14,simple_019,43,66.67,False
14,simple_038,43,100.00,True
14,simple_059,43,100.00,True
14,simple_070,43,33.33,False
14,simple_075,43,66.67,False
14,simple_085,43,100.00,True
14,simple_094,43,33.33,False
14,simple_098,43,33.33,False
14,simple_019,44,83.33,False
14,simple_038,44,50.00,False
14,simple_059,44,100.00,True
14,simple_070,44,100.00,True
14,simple_075,44,100.00,True
14,simple_085,44,100.00,True
14,simple_094,44,33.33,False
14,simple_098,44,66.67,False
14,simple_019,45,100.00,True
14,simple_038,45,100.00,True
14,simple_059,45,100.00,True
14,simple_070,45,66.67,False
14,simple_075,45,100.00,True
14,simple_085,45,66.67,False
14,simple_094,45,100.00,True
14,simple_098,45,66.67,False
14,simple_019,46,100.00,True
14,simple_038,46,50.00,False
14,simple_059,46,100.00,True
14,simple_070,46,66.67,False
14,simple_075,46,100.00,True
14,simple_085,46,33.33,False
14,simple_094,46,100.00,True
14,simple_098,46,33.33,False
15,simple_019,42,66.67,False
15,simple_038,42,100.00,True
15,simple_070,42,33.33,False
15,simple_075,42,100.00,True
15,simple_085,42,100.00,True
15,simple_094,42,100.00,True
15,simple_098,42,66.67,False
15,simple_019,43,100.00,True
15,simple_038,43,25.00,False
15,simple_059,43,100.00,True
15,simple_070,43,100.00,True
15,simple_075,43,100.00,True
15,simple_085,43,33.33,False
15,simple_098,43,66.67,False
15,simple_019,44,100.00,True
15,simple_038,44,25.00,False
15,simple_059,44,100.00,True
15,simple_070,44,100.00,True
15,simple_075,44,66.67,False
15,simple_085,44,66.67,False
15,simple_094,44,100.00,True
15,simple_098,44,33.33,False
15,simple_019,45,100.00,True
15,simple_038,45,75.00,False
15,simple_059,45,100.00,True
15,simple_070,45,66.67,False
15,simple_075,45,100.00,True
15,simple_085,45,33.33,False
15,simple_094,45,100.00,True
15,simple_098,45,33.33,False
15,simple_019,46,100.00,True
15,simple_038,46,100.00,True
15,simple_059,46,100.00,True
15,simple_070,46,66.67,False
15,simple_075,46,66.67,False
15,simple_085,46,100.00,True
15,simple_098,46,33.33,False
16,simple_019,42,66.67,False
16,simple_038,42,25.00,False
16,simple_059,42,66.67,False
16,simple_070,42,100.00,True
16,simple_075,42,100.00,True
16,simple_085,42,100.00,True
16,simple_094,42,100.00,True
16,simple_098,42,100.00,True
16,simple_019,43,66.67,False
16,simple_038,43,100.00,True
16,simple_059,43,100.00,True
16,simple_070,43,100.00,True
16,simple_075,43,66.67,False
16,simple_085,43,33.33,False
16,simple_094,43,33.33,False
16,simple_098,43,100.00,True
16,simple_019,44,100.00,True
16,simple_038,44,25.00,False
16,simple_059,44,100.00,True
16,simple_070,44,100.00,True
16,simple_075,44,100.00,True
16,simple_085,44,66.67,False
16,simple_094,44,100.00,True
16,simple_098,44,100.00,True
16,simple_019,45,83.33,False
16,simple_038,45,25.00,False
16,simple_059,45,100.00,True
16,simple_070,45,66.67,False
16,simple_075,45,66.67,False
16,simple_085,45,66.67,False
16,simple_094,45,100.00,True
16,simple_098,45,100.00,True
16,simple_019,46,66.67,False
16,simple_038,46,25.00,False
16,simple_059,46,100.00,True
16,simple_070,46,66.67,False
